qubits,state_type,shots,CNN,CNN_Fidelity_Mixing,CNN_Graph_Mixing,CNN_Overlap_Mixing,Physics_Informed_NN,Overlap_minus_PhysInf,FidelityMix_minus_PhysInf,Overlap_minus_FidelityMix,Graph_minus_PhysInf,Graph_minus_Overlap,Graph_minus_FidelityMix,CNN_minus_PhysInf,CNN_minus_Overlap,CNN_minus_FidelityMix,winner
3,mixed,80,,,,,0.7292235606931725,,,,,,,,,,Physics_Informed_NN
3,mixed,160,,,,,0.7513952033502296,,,,,,,,,,Physics_Informed_NN
3,mixed,320,,,,,0.7794243474052105,,,,,,,,,,Physics_Informed_NN
3,mixed,640,,,,,0.8064424447173701,,,,,,,,,,Physics_Informed_NN
3,mixed,1280,,,,,0.8343723711482945,,,,,,,,,,Physics_Informed_NN
3,pure,10,,,,,0.21955146716623195,,,,,,,,,,Physics_Informed_NN
3,pure,20,,,,,0.3018398028304325,,,,,,,,,,Physics_Informed_NN
3,pure,40,,,,,0.418395892941145,,,,,,,,,,Physics_Informed_NN
3,pure,80,,,,,0.5787678308908603,,,,,,,,,,Physics_Informed_NN
3,pure,160,,,,,0.7192303723061395,,,,,,,,,,Physics_Informed_NN
3,pure,320,,,,,0.81063972748737,,,,,,,,,,Physics_Informed_NN
3,pure,640,,,,,0.8642847773217625,,,,,,,,,,Physics_Informed_NN
3,pure,1280,,,,,0.8896315410222051,,,,,,,,,,Physics_Informed_NN
